127.0.0.1, 2015-06-16 12:09:14, GET, /examples/default/index, HTTP/1.1, 200, 0.079731
127.0.0.1, 2015-06-16 12:09:16, GET, /admin/default/site, HTTP/1.1, 200, 0.349672
127.0.0.1, 2015-06-16 12:09:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2015-06-16 12:09:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000462
127.0.0.1, 2015-06-16 12:09:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000246
127.0.0.1, 2015-06-16 12:09:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.326533
127.0.0.1, 2015-06-16 12:11:49, GET, /admin/default/index, HTTP/1.1, 303, 0.060733
127.0.0.1, 2015-06-16 12:11:49, GET, /admin/default/site, HTTP/1.1, 200, 0.100309
127.0.0.1, 2015-06-16 12:11:49, GET, /admin/static/_2.11.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000759
127.0.0.1, 2015-06-16 12:11:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2015-06-16 12:11:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000385
127.0.0.1, 2015-06-16 12:11:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000249
127.0.0.1, 2015-06-16 12:12:06, POST, /admin/default/site, HTTP/1.1, 303, 4.680721
127.0.0.1, 2015-06-16 12:12:06, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.257185
127.0.0.1, 2015-06-16 12:12:06, GET, /admin/static/_2.11.2/images/search.png, HTTP/1.1, 200, 0.002663
127.0.0.1, 2015-06-16 12:12:06, GET, /admin/static/_2.11.2/images/help.png, HTTP/1.1, 200, 0.001256
127.0.0.1, 2015-06-16 12:12:06, GET, /admin/static/_2.11.2/images/delete_icon.png, HTTP/1.1, 200, 0.001933
127.0.0.1, 2015-06-16 12:12:06, GET, /admin/static/_2.11.2/images/test_icon.png, HTTP/1.1, 200, 0.000820
127.0.0.1, 2015-06-16 12:12:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
127.0.0.1, 2015-06-16 12:12:31, GET, /, HTTP/1.1, 303, 0.000647
127.0.0.1, 2015-06-16 12:12:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.147085
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp, HTTP/1.1, 200, 0.121593
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/js/jquery.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001302
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/css/calendar.css, HTTP/1.1, 200, 0.000610
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002880
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002773
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001073
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.001960
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001745
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.001413
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/js/share.js, HTTP/1.1, 200, 0.001006
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002011
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/images/background.jpg, HTTP/1.1, 200, 0.001015
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000747
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/images/twitter.png, HTTP/1.1, 200, 0.001558
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 200, 0.001435
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/images/facebook.png, HTTP/1.1, 200, 0.000790
127.0.0.1, 2015-06-16 12:12:39, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000745
127.0.0.1, 2015-06-16 12:16:24, GET, /admin/default/peek/myapp/controllers/default.py, HTTP/1.1, 200, 0.254607
127.0.0.1, 2015-06-16 12:16:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
